"","model","species","covariates","WAIC","WAIC_p.eff","DIC","DIC_p.eff","DIC_mean.deviance","DIC_deviance.mean","log.marginal.likelihood","RSS"
"stats93","'-tavg,prec,elev,grassland,water","Short-tailed weasel","Eastness, Northness, trees, cropland, built","293.548146166516","47.7695852852241","202.378417226785","2.18503885409228","200.193378372692","198.0083395186","-132.532147925886","273.524388587173"
"stats94","'-tavg,prec,elev,grassland,eastness","Short-tailed weasel","Northness, trees, cropland, built, water","484.867226988214","117.235986691633","294.433888332048","25.2855479693427","269.148340362705","243.862792393362","-154.676464187926","390.669397189952"
"stats95","'-tavg,prec,elev,grassland,northness","Short-tailed weasel","Eastness, Northness, trees, cropland, built, water","239.394368107689","23.8249712216775","213.64623178132","11.9319607875824","201.714270993737","189.782310206155","-135.863961157972","345.885370476133"
"stats96","'-tavg,elev,trees,built,water","Least weasel","Eastness, Northness, prec, grassland, cropland","111.701002328345","1.3605440314029","-6.11421109726993","-73.5417850986977","67.4275740014277","140.969359100125","-130.130490887274","82.128509142554"
"stats97","'-prec,elev,trees,built,water","Least weasel","Eastness, Northness, tavg, grassland, cropland","114.192215909718","1.20330872784865","-8.67084012552533","-76.1010764707362","67.4302363452109","143.531312815947","-131.896088312168","82.1038288346741"
"stats98","'-elev,trees,grassland,built,water","Least weasel","Eastness, Northness, tavg, prec, cropland","112.403654249694","1.27704714202709","-6.81401071854987","-74.245744863903","67.4317341453532","141.677479009256","-130.803959078468","82.2707171540821"
"stats99","'-elev,trees,cropland,built,water","Least weasel","Eastness, Northness, tavg, prec, grassland","128.939639314147","1.73988226177325","-22.9265693850967","-90.1155271608267","67.18895777573","157.304484936557","-140.680425181509","81.6892683585074"
"stats100","'-elev,trees,built,water,eastness","Least weasel","Northness, tavg, prec, grassland, cropland","109.783705871698","1.19009774804122","-4.41626116511023","-71.8579918035326","67.4417306384224","139.299722441955","-130.199059150824","82.206846046385"
"stats101","'-elev,trees,built,water,northness","Least weasel","Eastness, tavg, prec, grassland, cropland","112.654043132109","1.23529088547683","-7.25034312421221","-74.6424453930324","67.3921022688202","142.034547661853","-132.301970155416","82.1148492124533"
"stats102","'-tavg,elev,trees,built,water,eastness","Least weasel","Northness, prec, grassland, cropland","110.630993731016","1.18808691981712","-8.61880629118872","-74.9193207678114","66.3005144766227","141.219835244434","-126.029372198646","81.1183199278233"
"stats103","'-prec,elev,trees,built,water,eastness","Least weasel","Northness, tavg, grassland, cropland","113.506402565709","1.10134883814834","-11.5136743063191","-77.8017069017842","66.2880325954651","144.089739497249","-128.031918645383","81.1049357670566"
"stats104","'-elev,trees,grassland,built,water,eastness","Least weasel","Northness, tavg, prec, cropland","111.533913604762","1.13527954222114","-9.47935755773187","-75.7944796586942","66.3151221009623","142.109601759656","-125.750061934991","81.2891526948618"
"stats105","'-elev,trees,cropland,built,water,eastness","Least weasel","Northness, tavg, prec, grassland","128.461049015003","1.65671353333503","-25.9045883899275","-91.916164736596","66.0115763466685","157.927741083264","-137.750628823347","80.5946741905981"
"stats106","'-elev,trees,built,water,eastness,northness","Least weasel","tavg, prec, grassland, cropland","111.668194597297","1.11832420541064","-9.74391985049209","-76.0176010031601","66.273681152668","142.291282155828","-127.71532545127","81.1390249775648"
