dataSource,dataSource_secondary,sourceID,species,dataType,date,time,latitude,longitude,positionalError_meters,specificGeography,dataNotes
ODNR (Diversity Database),NA,7861,Long-tailed weasel,Museum specimen,5/26/1905,NA,40.0767,-82.9442,1414.21,,
ODNR (Diversity Database),NA,16751,Long-tailed weasel,Museum specimen,7/12/1958,NA,41.5147,-82.9169,1609.34,,
ODNR (Diversity Database),NA,20044,Long-tailed weasel,Museum specimen,1/18/1932,NA,40.7337,-82.7904,1414.21,,
ODNR (Diversity Database),NA,8247,Long-tailed weasel,Museum specimen,7/9/1964,NA,40.1303,-82.7383,1414.21,,
ODNR (Diversity Database),NA,16631,Long-tailed weasel,Museum specimen,5/16/1937,NA,41.5058,-82.7189,8046.72,,
ODNR (Diversity Database),NA,16632,Long-tailed weasel,Museum specimen,NA,NA,41.5058,-82.7189,8046.72,,
ODNR (Diversity Database),NA,12805,Long-tailed weasel,Museum specimen,6/18/1942,NA,41.2431,-82.6161,4828.03,,
ODNR (Diversity Database),NA,12806,Long-tailed weasel,Museum specimen,6/19/1942,NA,41.2431,-82.6161,4828.03,,
ODNR (Diversity Database),NA,7455,Long-tailed weasel,Museum specimen,3/8/1929,NA,39.7139,-82.5992,1609.34,,
ODNR (Diversity Database),NA,7538,Long-tailed weasel,Museum specimen,12/23/1929,NA,39.7303,-82.5706,1414.21,,
ODNR (Diversity Database),NA,13024,Long-tailed weasel,Museum specimen,12/1/1973,NA,40.5081,-82.5019,1609.34,,
ODNR (Diversity Database),NA,13025,Long-tailed weasel,Museum specimen,12/1/1973,NA,40.5081,-82.5019,1609.34,,
ODNR (Diversity Database),NA,12803,Long-tailed weasel,Museum specimen,NA,NA,41.0849,-82.4002,1609.34,,
ODNR (Diversity Database),NA,2142,Long-tailed weasel,Museum specimen,8/27/1959,NA,39.3521,-82.2683,1609.34,,
ODNR (Diversity Database),NA,2143,Long-tailed weasel,Museum specimen,8/28/1959,NA,39.3521,-82.2683,1609.34,,
ODNR (Diversity Database),NA,2144,Long-tailed weasel,Museum specimen,12/3/1959,NA,39.3521,-82.2683,1609.34,,
ODNR (Diversity Database),NA,2145,Long-tailed weasel,Museum specimen,6/1/1960,NA,39.3521,-82.2683,1609.34,,
ODNR (Diversity Database),NA,396,Long-tailed weasel,Museum specimen,7/7/1924,NA,40.6355,-82.2332,1609.34,,
ODNR (Diversity Database),NA,15208,Long-tailed weasel,Museum specimen,11/14/1930,NA,41.2678,-82.1075,4828.03,,
ODNR (Diversity Database),NA,15209,Long-tailed weasel,Museum specimen,11/14/1930,NA,41.2678,-82.1075,4828.03,,
ODNR (Diversity Database),NA,1793,Long-tailed weasel,Museum specimen,1/30/1983,NA,39.3294,-82.1014,1609.34,,
ODNR (Diversity Database),NA,1907,Long-tailed weasel,Museum specimen,11/27/1956,NA,39.3294,-82.1014,1609.34,,
ODNR (Diversity Database),NA,1911,Long-tailed weasel,Museum specimen,5/22/1959,NA,39.3294,-82.1014,1609.34,,
ODNR (Diversity Database),NA,2012,Long-tailed weasel,Museum specimen,6/11/1974,NA,39.4328,-82.0969,1414.21,,
ODNR (Diversity Database),NA,1774,Long-tailed weasel,Museum specimen,11/11/1980,NA,39.3294,-81.9537,1609.34,,
ODNR (Diversity Database),NA,21035,Long-tailed weasel,Museum specimen,8/8/1926,NA,40.8053,-81.935,4828.03,,
ODNR (Diversity Database),NA,21039,Long-tailed weasel,Museum specimen,8/10/1936,NA,40.8053,-81.935,4828.03,,
ODNR (Diversity Database),NA,1755707,Long-tailed weasel,Museum specimen,9/9/2011,NA,41.05,-81.92,1110,,
ODNR (Diversity Database),NA,21008,Long-tailed weasel,Museum specimen,8/10/1936,NA,40.78,-81.9197,1609.34,,
ODNR (Diversity Database),NA,4646,Long-tailed weasel,Museum specimen,6/1/1945,NA,41.5013,-81.6956,S7,,
ODNR (Diversity Database),NA,4647,Long-tailed weasel,Museum specimen,6/1/1945,NA,41.5013,-81.6956,S7,,
ODNR (Diversity Database),NA,4664,Long-tailed weasel,Museum specimen,NA,NA,41.5013,-81.6956,S7,,
ODNR (Diversity Database),NA,4665,Long-tailed weasel,Museum specimen,NA,NA,41.5013,-81.6956,S7,,
ODNR (Diversity Database),NA,19803,Long-tailed weasel,Museum specimen,6/6/1993,NA,41.24,-81.6384,1609.34,,
ODNR (Diversity Database),NA,4340,Long-tailed weasel,Museum specimen,6/7/1946,NA,41.3194,-81.6269,1414.21,,
ODNR (Diversity Database),NA,4341,Long-tailed weasel,Museum specimen,10/2/1987,NA,41.3194,-81.6269,1414.21,,
ODNR (Diversity Database),NA,19755,Long-tailed weasel,Museum specimen,7/20/1909,NA,41.1819,-81.5844,1414.21,,
ODNR (Diversity Database),NA,19761,Long-tailed weasel,Museum specimen,1/7/1926,NA,41.1819,-81.5844,1414.21,,
ODNR (Diversity Database),NA,4810,Long-tailed weasel,Museum specimen,6/13/1976,NA,41.5444,-81.5653,402.336,,
ODNR (Diversity Database),NA,4708,Long-tailed weasel,Museum specimen,10/22/1927,NA,41.5203,-81.5564,1609.34,,
ODNR (Diversity Database),NA,4712,Long-tailed weasel,Museum specimen,10/22/1927,NA,41.5203,-81.5564,1609.34,,
ODNR (Diversity Database),NA,19832,Long-tailed weasel,Museum specimen,7/10/1982,NA,41.1297,-81.5322,S7,,
ODNR (Diversity Database),NA,5849,Long-tailed weasel,Museum specimen,7/30/1977,NA,41.4786,-81.4875,60.96,,
